 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
  203.00  218.08  -25.00  200.00   16.66    0.00    0.00
  204.00  218.10  -25.00  200.00   16.66    0.00    0.00
  205.00  218.12  -25.00  200.00   16.67    0.00    0.00
  206.00  218.13  -25.00  200.00   16.67    0.00    0.00
  207.00  218.16  -25.00  200.00   16.66    0.00    0.00
  208.00  218.19  -25.00  200.00   16.66    0.00    0.00
  209.00  218.22  -25.00  200.00   16.66    0.00    0.00
  210.00  218.24  -25.00  200.00   16.66    0.00    0.00
  211.00  218.25  -25.00  200.00   16.67    0.00    0.00
  212.00  218.26  -25.00  200.00   16.67    0.00    0.00
  213.00  218.30  -25.00  200.00   16.66    0.00    0.00
  214.00  218.33  -25.00  200.00   16.66    0.00    0.00
  215.00  218.36  -25.00  200.00   16.66    0.00    0.00
  216.00  218.38  -25.00  200.00   16.67    0.00    0.00
  217.00  218.38  -25.00  200.00   16.67    0.00    0.00
  218.00  218.40  -25.00  200.00   16.67    0.00    0.00
  219.00  218.44  -25.00  200.00   16.66    0.00    0.00
  220.00  218.47  -25.00  200.00   16.66    0.00    0.00
  221.00  218.49  -25.00  200.00   16.66    0.00    0.00
  222.00  218.51  -25.00  200.00   16.67    0.00    0.00
  223.00  218.52  -25.00  200.00   16.67    0.00    0.00
  224.00  218.55  -25.00  200.00   16.66    0.00    0.00
  225.00  218.57  -25.00  200.00   16.66    0.00    0.00
  226.00  218.61  -25.00  200.00   16.66    0.00    0.00
  227.00  218.63  -25.00  200.00   16.66    0.00    0.00
  228.00  218.64  -25.00  200.00   16.67    0.00    0.00
  229.00  218.66  -25.00  200.00   16.67    0.00    0.00
  230.00  218.69  -25.00  200.00   16.66    0.00    0.00
  231.00  218.72  -25.00  200.00   16.66    0.00    0.00
  232.00  218.75  -25.00  200.00   16.66    0.00    0.00
  233.00  218.77  -25.00  200.00   16.66    0.00    0.00
  234.00  218.78  -25.00  200.00   16.67    0.00    0.00
  235.00  218.79  -25.00  200.00   16.67    0.00    0.00
  236.00  218.83  -25.00  200.00   16.66    0.00    0.00
  237.00  218.86  -25.00  200.00   16.66    0.00    0.00
  238.00  218.89  -25.00  200.00   16.66    0.00    0.00
  239.00  218.91  -25.00  200.00   16.66    0.00    0.00
  240.00  218.91  -25.00  200.00   16.67    0.00    0.00
  241.00  218.93  -25.00  200.00   16.66    0.00    0.00
