TIME,WBHP:A-35,WBHP:A-17,WBHP:A-13,WBHP:A-39A,WBHP:A-2AH,WBHP:A-5H,WBHP:A-10,WBHP:A-38,WBHP:A-1H,WGIR:A-35,WGIR:A-17,WGIR:A-13,WGIR:A-39A,WGIR:A-2AH,WGIR:A-5H,WGIR:A-10,WGIR:A-38,WGIR:A-1H,WGOR:A-35,WGOR:A-17,WGOR:A-13,WGOR:A-39A,WGOR:A-2AH,WGOR:A-5H,WGOR:A-10,WGOR:A-38,WGOR:A-1H,WGPT:A-35,WGPT:A-17,WGPT:A-13,WGPT:A-39A,WGPT:A-2AH,WGPT:A-5H,WGPT:A-10,WGPT:A-38,WGPT:A-1H,WGPR:A-35,WGPR:A-17,WGPR:A-13,WGPR:A-39A,WGPR:A-2AH,WGPR:A-5H,WGPR:A-10,WGPR:A-38,WGPR:A-1H,WOPT:A-35,WOPT:A-17,WOPT:A-13,WOPT:A-39A,WOPT:A-2AH,WOPT:A-5H,WOPT:A-10,WOPT:A-38,WOPT:A-1H,WOPR:A-35,WOPR:A-17,WOPR:A-13,WOPR:A-39A,WOPR:A-2AH,WOPR:A-5H,WOPR:A-10,WOPR:A-38,WOPR:A-1H,WPI1:A-35,WPI1:A-17,WPI1:A-13,WPI1:A-39A,WPI1:A-2AH,WPI1:A-5H,WPI1:A-10,WPI1:A-38,WPI1:A-1H,WWCT:A-35,WWCT:A-17,WWCT:A-13,WWCT:A-39A,WWCT:A-2AH,WWCT:A-5H,WWCT:A-10,WWCT:A-38,WWCT:A-1H,
487.00,0,0,265.998,0,255.661,338.404,227.058,0,242.221,0,0,0,0,0,0,0,0,0,0,0,99.0715,0,100.927,0,104.112,0,96.8095,0,0,7.55854e+06,0,6.25214e+07,0,5.82052e+07,0,1.47942e+08,0,0,215379,0,233069,0,331782,0,400614,0,0,76455.2,0,618388,0,577265,0,1.51664e+06,0,0,2173.98,0,2309.27,0,3186.78,0,4138.17,0,0,620.734,0,104.263,457.534,111.984,0,254.525,0,0,0.000183039,0,0.0370031,0,0.000173436,0,6.16471e-05,
513.00,0,0,263.058,0,250.814,339.367,223.112,0,248.758,0,0,0,0,0,0,0,0,0,0,0,99.2772,0,100.922,0,105.588,0,96.8519,0,0,1.19365e+07,0,6.87146e+07,0,6.67577e+07,0,1.56386e+08,0,0,168486,0,235298,0,330303,0,324803,0,0,120592,0,679754,0,658753,0,1.60384e+06,0,0,1697.12,0,2331.48,0,3128.22,0,3353.6,0,0,622.482,0,89.1586,461.638,110.92,0,253.918,0,0,0.000205125,0,0.0711464,0,0.000194226,0,5.46253e-05,
517.00,0,0,262.306,0,250.389,339.516,222.449,0,248.877,0,0,0,0,0,0,0,0,0,0,0,99.3285,0,100.924,0,105.824,0,96.8592,0,0,1.26107e+07,0,6.96509e+07,0,6.80809e+07,0,1.57685e+08,0,0,168546,0,234079,0,330807,0,324821,0,0,127379,0,689032,0,671258,0,1.61725e+06,0,0,1696.86,0,2319.36,0,3126.02,0,3353.54,0,0,622.848,0,87.2012,462.235,110.757,0,253.914,0,0,0.000209699,0,0.0770822,0,0.00019744,0,5.44631e-05,
548.00,0,0,0,0,264.803,328.699,0,0,263.826,0,0,0,0,0,0,0,0,0,0,0,0,0,100.922,0,0,0,96.8806,0,0,1.26107e+07,0,7.42685e+07,0,6.80809e+07,0,1.64252e+08,0,0,0,0,147115,0,0,0,211854,0,0,127379,0,734786,0,671258,0,1.68504e+06,0,0,0,0,1457.71,0,0,0,2186.75,0,0,0,0,77.3921,465.455,0,0,251.759,0,0,0,0,0.109933,0,0,0,3.97712e-05,
578.00,0,0,0,0,299.612,323.918,0,0,269.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.9184,0,0,1.26107e+07,0,7.42685e+07,0,6.80809e+07,0,1.70341e+08,0,0,0,0,0,0,0,0,202997,0,0,127379,0,734786,0,671258,0,1.74788e+06,0,0,0,0,0,0,0,0,2094.51,0,0,0,0,0,468.552,0,0,250.666,0,0,0,0,0,0,0,0,3.2369e-05,
609.00,0,0,0,0,260.098,339.664,0,0,249.449,0,0,0,0,0,0,0,0,0,0,0,0,0,100.837,0,0,0,97.0503,0,0,1.26107e+07,0,7.9461e+07,0,6.80809e+07,0,1.81876e+08,0,0,0,0,162508,0,0,0,372245,0,0,127379,0,786315,0,671258,0,1.86681e+06,0,0,0,0,1611.6,0,0,0,3835.59,0,0,0,0,63.7666,471.807,0,0,253.865,0,0,0,0,0.180125,0,0,0,4.89093e-05,
624.00,0,0,0,0,238.882,338.88,0,0,242.883,0,0,0,0,0,0,0,0,0,0,0,0,0,100.944,0,0,0,97.1189,0,0,1.26107e+07,0,8.29111e+07,0,6.80809e+07,0,1.8806e+08,0,0,0,0,228054,0,0,0,412364,0,0,127379,0,820506,0,671258,0,1.9305e+06,0,0,0,0,2259.22,0,0,0,4245.98,0,0,0,0,60.3664,473.092,0,0,255.002,0,0,0,0,0.205453,0,0,0,6.04512e-05,
625.00,0,0,0,0,238.608,338.751,0,0,242.642,0,0,0,0,0,0,0,0,0,0,0,0,0,100.951,0,0,0,97.1237,0,0,1.26107e+07,0,8.31388e+07,0,6.80809e+07,0,1.88472e+08,0,0,0,0,227665,0,0,0,412379,0,0,127379,0,822762,0,671258,0,1.93475e+06,0,0,0,0,2255.21,0,0,0,4245.92,0,0,0,0,60.1575,473.109,0,0,255.068,0,0,0,0,0.207126,0,0,0,6.11078e-05,
640.00,0,0,0,0,234.921,336.58,0,0,239.628,0,0,0,0,0,0,0,0,0,0,0,0,0,101.042,0,0,0,97.2241,0,0,1.26107e+07,0,8.65003e+07,0,6.80809e+07,0,1.9466e+08,0,0,0,0,221985,0,0,0,412674,0,0,127379,0,856041,0,671258,0,1.99843e+06,0,0,0,0,2196.96,0,0,0,4244.56,0,0,0,0,57.123,474.456,0,0,255.31,0,0,0,0,0.231332,0,0,0,8.14951e-05,
647.00,0,300.325,0,0,249.763,337.452,0,0,239.224,0,0,0,0,0,0,0,0,0,0,101.88,0,0,101.066,0,0,0,97.3732,0,24968.8,1.26107e+07,0,8.76317e+07,0,6.80809e+07,0,1.97491e+08,0,3566.77,0,0,161164,0,0,0,404415,0,245.061,127379,0,867236,0,671258,0,2.0275e+06,0,35.0096,0,0,1594.64,0,0,0,4153.25,0,184.994,0,0,55.5287,475.259,0,0,254.618,0,5.25841e-06,0,0,0.243508,0,0,0,0.00012248,
670.00,0,300.069,0,0,248.469,337.202,0,0,236.181,0,0,0,0,0,0,0,0,0,0,101.786,0,0,101.103,0,0,0,97.3548,0,106972,1.26107e+07,0,9.124e+07,0,6.80809e+07,0,2.06772e+08,0,3564.47,0,0,153939,0,0,0,401669,0,1050.42,127379,0,902930,0,671258,0,2.12278e+06,0,35.0193,0,0,1522.6,0,0,0,4125.82,0,184.981,0,0,51.2077,477.538,0,0,236.459,0,5.55109e-06,0,0,0.283734,0,0,0,0.00834373,
677.00,0,290.342,0,0,249.995,334.683,0,0,233.244,0,0,0,0,0,0,0,0,0,0,101.716,0,0,101.101,0,0,0,97.812,0,654870,1.26107e+07,0,9.22367e+07,0,6.80809e+07,0,2.09742e+08,0,78261.3,0,0,141860,0,0,0,423675,0,6436.01,127379,0,912789,0,671258,0,2.15313e+06,0,769.41,0,0,1403.15,0,0,0,4331.52,0,185.993,0,0,49.9945,478.132,0,0,228.614,0,1.70814e-05,0,0,0.29627,0,0,0,0.0142588,
701.00,0,285.64,0,0,245.552,331.262,0,0,226.436,0,0,0,0,0,0,0,0,0,0,101.575,0,0,101.072,0,0,0,99.3104,0,2.53191e+06,1.26107e+07,0,9.55288e+07,0,6.80809e+07,0,2.19797e+08,0,78185.2,0,0,134043,0,0,0,413207,0,24907,127379,0,945357,0,671258,0,2.25486e+06,0,769.725,0,0,1326.21,0,0,0,4160.77,0,186.649,0,0,46.0245,480.06,0,0,187.319,0,2.72493e-05,0,0,0.341266,0,0,0,0.0567769,
