TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
3559.00,122.107,344030,1.2399e+09,2817.46,1.26152e+07,0.426528,
3562.00,122.268,343915,1.24094e+09,2812.81,1.26236e+07,0.427453,
3592.00,104.405,240631,1.24824e+09,2304.79,1.26929e+07,0.482557,
3623.00,90.9466,70157.6,1.25041e+09,771.416,1.27169e+07,0.576706,
3653.00,96.9486,88959.5,1.25313e+09,917.595,1.27444e+07,0.651021,
3684.00,100.858,257319,1.26109e+09,2551.3,1.28245e+07,0.42467,
3715.00,97.648,208274,1.26763e+09,2132.9,1.28908e+07,0.529669,
3743.00,102.001,153241,1.27194e+09,1502.35,1.2933e+07,0.620448,
3774.00,104.656,299553,1.28113e+09,2862.26,1.30222e+07,0.466138,
3804.00,148.545,550490,1.29768e+09,3705.87,1.31334e+07,0.415937,
3835.00,118.232,380678,1.30997e+09,3219.74,1.3234e+07,0.364173,
3865.00,118.361,436609,1.32398e+09,3688.79,1.33486e+07,0.440931,
3896.00,117.303,310424,1.33378e+09,2646.34,1.34316e+07,0.526278,
3927.00,104.838,201597,1.3401e+09,1922.94,1.34916e+07,0.529998,
3957.00,76.2674,32966.4,1.34107e+09,432.248,1.35048e+07,0.554873,
3988.00,97.1878,210088,1.34765e+09,2161.67,1.3572e+07,0.558814,
4018.00,127.913,389401,1.3594e+09,3044.26,1.36649e+07,0.539938,
4049.00,103.314,216825,1.36628e+09,2098.7,1.37303e+07,0.629734,
4080.00,107.402,255690,1.37414e+09,2380.69,1.38045e+07,0.602163,
4108.00,110.545,192272,1.37943e+09,1739.31,1.38533e+07,0.660176,
4139.00,118.239,176356,1.38512e+09,1491.51,1.38996e+07,0.711527,
4169.00,102.766,232448,1.39237e+09,2261.91,1.3967e+07,0.61008,
4200.00,95.9286,185773,1.39817e+09,1936.57,1.40277e+07,0.608273,
4230.00,80.3298,54683.4,1.3998e+09,680.736,1.40486e+07,0.639761,
4261.00,226.95,557516,1.41414e+09,2456.56,1.41243e+07,0.620525,
4292.00,103.867,164302,1.41975e+09,1581.85,1.41734e+07,0.604816,
4322.00,92.6054,165637,1.42495e+09,1788.63,1.42267e+07,0.58586,
4353.00,119.597,204325,1.43064e+09,1708.45,1.42823e+07,0.612109,
4383.00,106.493,114713,1.43399e+09,1077.2,1.43146e+07,0.741035,
4414.00,124.641,136281,1.43819e+09,1093.39,1.4349e+07,0.737765,
4445.00,110.783,128347,1.44228e+09,1158.55,1.43852e+07,0.748562,
4473.00,141.459,159048,1.44675e+09,1124.34,1.44172e+07,0.751492,
4504.00,108.941,125695,1.45079e+09,1153.79,1.44535e+07,0.765156,
4534.00,102.6,109084,1.45417e+09,1063.19,1.4486e+07,0.775228,
4565.00,93.1477,80181.1,1.45673e+09,860.795,1.45132e+07,0.785343,
4595.00,89.4955,56518.2,1.45847e+09,631.521,1.45326e+07,0.77772,
4626.00,89.2398,47931.8,1.46001e+09,537.112,1.45499e+07,0.796711,
4657.00,89.3937,48172,1.46152e+09,538.875,1.45668e+07,0.804182,
4687.00,101.747,14698.5,1.46198e+09,144.461,1.45714e+07,0.842578,
4718.00,318.074,150552,1.46662e+09,473.323,1.45854e+07,0.789113,
4748.00,95.6897,44353.3,1.46795e+09,463.512,1.45988e+07,0.791915,
4779.00,110.921,43736,1.46941e+09,394.298,1.4611e+07,0.766124,
4810.00,204.922,68427.8,1.47136e+09,333.921,1.46222e+07,0.748072,
4839.00,233.614,74991.6,1.47345e+09,321.006,1.46318e+07,0.768164,
4870.00,101.555,34281.1,1.47454e+09,337.563,1.46421e+07,0.793314,
4900.00,111.738,47782.2,1.47596e+09,427.626,1.46547e+07,0.777969,
4931.00,243.237,159498,1.48075e+09,655.73,1.46757e+07,0.743297,
4961.00,226.799,158212,1.48551e+09,697.586,1.46969e+07,0.75407,
4992.00,205.603,142902,1.48998e+09,695.039,1.47187e+07,0.76384,
5023.00,164.305,33442.3,1.49105e+09,203.538,1.47253e+07,0.808376,
5053.00,321.146,126461,1.49469e+09,393.781,1.47372e+07,0.783625,
5084.00,246.781,99145.5,1.49775e+09,401.754,1.47495e+07,0.784949,
5114.00,288.206,134972,1.50176e+09,468.317,1.47635e+07,0.774958,
5145.00,299.854,155506,1.50654e+09,518.607,1.47797e+07,0.773237,
5176.00,309.629,169232,1.51175e+09,546.564,1.47968e+07,0.776399,
5204.00,198.796,114292,1.51496e+09,574.921,1.4813e+07,0.78568,
5235.00,92.7803,45021.4,1.51638e+09,485.247,1.48282e+07,0.801559,
5265.00,92.9304,56587.8,1.51808e+09,608.926,1.48465e+07,0.797928,
5296.00,158.514,112888,1.52127e+09,712.165,1.4869e+07,0.790913,
5326.00,167.787,113640,1.52461e+09,677.287,1.48896e+07,0.796457,
5357.00,247.116,168939,1.5297e+09,683.641,1.49111e+07,0.794742,
5388.00,219.65,110245,1.53311e+09,501.912,1.49269e+07,0.80959,
5418.00,224.926,199628,1.53898e+09,887.526,1.49534e+07,0.792933,
5449.00,247.7,217345,1.54566e+09,877.453,1.4981e+07,0.797026,
5479.00,182.142,66979.2,1.54773e+09,367.731,1.49923e+07,0.826754,
5510.00,117.487,99822.5,1.55079e+09,849.644,1.50179e+07,0.799067,
5541.00,205.745,176857,1.55627e+09,859.594,1.50447e+07,0.795376,
5569.00,247.07,191869,1.56159e+09,776.58,1.50667e+07,0.797925,
5600.00,264.565,220103,1.56836e+09,831.942,1.50925e+07,0.796248,
5630.00,300,239649,1.57552e+09,798.831,1.51166e+07,0.797435,
5661.00,341.946,277608,1.58417e+09,811.849,1.51417e+07,0.794666,
5691.00,324.85,238967,1.59164e+09,735.623,1.51631e+07,0.783013,
5722.00,215.144,192894,1.5977e+09,896.581,1.51906e+07,0.788518,
5753.00,138.437,116455,1.60159e+09,841.21,1.52169e+07,0.803021,
5783.00,98.5076,24556.9,1.60238e+09,249.289,1.52249e+07,0.848848,
5814.00,99.7989,59077.6,1.60415e+09,591.967,1.52424e+07,0.820424,
5844.00,165.796,89367.1,1.60669e+09,539.02,1.52591e+07,0.821962,
5875.00,184.17,133609,1.61072e+09,725.464,1.52816e+07,0.817309,
5906.00,346.308,117813,1.61434e+09,340.197,1.52926e+07,0.829297,
5934.00,293.545,186294,1.61944e+09,634.636,1.531e+07,0.816079,
5941.00,334.552,108749,1.62021e+09,325.059,1.53123e+07,0.819845,
5942.00,335.677,108626,1.62032e+09,323.603,1.53126e+07,0.820679,
5965.00,352.298,106201,1.62278e+09,301.452,1.53197e+07,0.833536,
5995.00,437.33,55017.3,1.62446e+09,125.803,1.53236e+07,0.850696,
6026.00,349.708,110566,1.62782e+09,316.167,1.53329e+07,0.829455,
6056.00,234.304,127742,1.6316e+09,545.197,1.53488e+07,0.811334,
6087.00,297.087,198673,1.63783e+09,668.737,1.537e+07,0.814219,
6118.00,518.521,155663,1.64283e+09,300.205,1.53793e+07,0.799892,
6148.00,100.281,48011.5,1.64422e+09,478.767,1.53931e+07,0.842996,
6179.00,100.525,18110.6,1.64481e+09,180.16,1.53989e+07,0.868631,
6209.00,166.462,64526.1,1.6467e+09,387.632,1.54104e+07,0.852211,
6240.00,355.323,110227,1.65023e+09,310.217,1.54199e+07,0.824145,
6271.00,234.401,110915,1.65373e+09,473.185,1.54339e+07,0.820942,
6300.00,168.302,44216.1,1.65501e+09,262.719,1.54416e+07,0.847498,
6331.00,99.4209,12873.4,1.65542e+09,129.484,1.54457e+07,0.882351,
6361.00,253.751,130373,1.65964e+09,513.783,1.54589e+07,0.80979,
6392.00,153.683,104346,1.66325e+09,678.966,1.54785e+07,0.779711,
6422.00,115.867,65172.5,1.66528e+09,562.476,1.54955e+07,0.826265,
6453.00,121.926,105066,1.66876e+09,861.714,1.55216e+07,0.72809,
6484.00,114.688,66067.9,1.67082e+09,576.068,1.55396e+07,0.741426,
6514.00,112.351,60295.8,1.67267e+09,536.672,1.55557e+07,0.711828,
6545.00,109.431,102491,1.67597e+09,936.576,1.55841e+07,0.632296,
6575.00,109.625,85254.4,1.67855e+09,777.695,1.56075e+07,0.349235,
6606.00,109.124,100817,1.68174e+09,923.873,1.56359e+07,0.00810687,
6637.00,108.703,89278.6,1.68438e+09,821.311,1.5661e+07,0.614775,
6665.00,112.031,144420,1.68829e+09,1289.11,1.5696e+07,0.701551,
6696.00,122.994,127151,1.69215e+09,1033.8,1.57292e+07,0.723482,
6726.00,120.978,99984.3,1.69518e+09,826.466,1.57541e+07,0.728869,
6757.00,115.425,95486.3,1.69816e+09,827.256,1.57796e+07,0.736774,
6787.00,113.231,76200.6,1.70039e+09,672.966,1.58e+07,0.777999,
6818.00,121.351,50468.2,1.70195e+09,415.887,1.58132e+07,0.726485,
6849.00,130.484,56249.5,1.70365e+09,431.083,1.58267e+07,0.763608,
6879.00,147.191,102109,1.70664e+09,693.717,1.58471e+07,0.738603,
6910.00,147.943,86214,1.70926e+09,582.752,1.58653e+07,0.7557,
6940.00,146.682,62455.6,1.71108e+09,425.789,1.58783e+07,0.783602,
6971.00,153.8,62730,1.71298e+09,407.868,1.5891e+07,0.787202,
7002.00,180.687,69210.4,1.71517e+09,383.04,1.59028e+07,0.73372,
7030.00,169.701,45584,1.71651e+09,268.613,1.59101e+07,0.651552,
7061.00,109.837,65112.4,1.71833e+09,592.808,1.59265e+07,0.784882,
7091.00,390.165,200638,1.72398e+09,514.239,1.59432e+07,0.813153,
7122.00,281.197,223058,1.73108e+09,793.246,1.59682e+07,0.741832,
7152.00,260.003,218054,1.73786e+09,838.659,1.59932e+07,0.741392,
7183.00,233.639,218060,1.74471e+09,933.32,1.60222e+07,0.718199,
