TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WBHP:N-1,WBHP:N-3,WBHP:N-4,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGIR:N-1,WGIR:N-3,WGIR:N-4,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGOR:N-1,WGOR:N-3,WGOR:N-4,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPT:N-1,WGPT:N-3,WGPT:N-4,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WGPR:N-1,WGPR:N-3,WGPR:N-4,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPT:N-1,WOPT:N-3,WOPT:N-4,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WOPR:N-1,WOPR:N-3,WOPR:N-4,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WPI1:N-1,WPI1:N-3,WPI1:N-4,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,WWCT:N-1,WWCT:N-3,WWCT:N-4,
486.00,143.35,154.953,308.326,185.302,274.88,277.566,280.098,0,0,0,0,0,0,0,221.928,993.87,0,0,90.9676,92.1624,89.0364,2.1096e+08,2.0835e+08,0,0,8.91008e+07,9.0538e+07,8.70271e+07,665784,1.4908e+06,0,0,181935,184325,178073,1.458e+06,729000,0,0,972000,972000,972000,3000,1500,0,0,2000,2000,2000,188.237,84.6331,0,0,1067.07,1346.85,1958.22,0.000348185,0.000670661,0,0,0.0243624,0.000101968,7.21454e-05,
487.00,142.993,154.606,308.323,185.039,274.838,277.531,280.064,0,0,0,0,0,0,0,222.682,1000.13,0,0,90.9662,92.1591,89.0363,2.11628e+08,2.0985e+08,0,0,8.92827e+07,9.07223e+07,8.72052e+07,668046,1.5002e+06,0,0,181932,184318,178073,1.461e+06,730500,0,0,974000,974000,974000,3000,1500,0,0,2000,2000,2000,187.982,84.432,0,0,1067.02,1346.86,1958.29,0.000349657,0.000674034,0,0,0.0244121,0.000102109,7.20805e-05,
513.00,133.074,144.438,308.23,176.936,273.755,276.632,279.186,0,0,0,0,0,0,0,241.248,1158.87,0,0,90.9154,92.0751,88.9981,2.29854e+08,2.52487e+08,0,0,9.40113e+07,9.5512e+07,9.18338e+07,723743,1.7383e+06,0,0,181831,184150,177996,1.539e+06,769500,0,0,1.026e+06,1.026e+06,1.026e+06,3000,1500,0,0,2000,2000,2000,180.98,79.1432,0,0,1063.54,1347.19,1959.32,0.000389636,0.000770446,0,0,0.0260322,0.00010578,7.56914e-05,
517.00,131.477,142.796,308.215,175.637,273.591,276.495,279.053,0,0,0,0,0,0,0,243.86,1183.86,0,0,90.9081,92.0623,88.9909,2.3278e+08,2.5959e+08,0,0,9.47386e+07,9.62485e+07,9.25458e+07,731579,1.77579e+06,0,0,181816,184125,177982,1.551e+06,775500,0,0,1.034e+06,1.034e+06,1.034e+06,3000,1500,0,0,2000,2000,2000,179.906,78.3375,0,0,1063.08,1347.24,1959.44,0.000396219,0.000786633,0,0,0.0262616,0.000106345,7.64815e-05,
548.00,118.374,129.492,308.099,165.022,272.345,275.438,278.021,0,0,0,0,0,0,0,264.313,1367.88,0,0,90.856,91.9641,88.9497,2.56565e+08,3.19564e+08,0,0,1.00373e+08,1.01953e+08,9.80618e+07,792939,2.05182e+06,0,0,181712,183928,177899,1.644e+06,822000,0,0,1.096e+06,1.096e+06,1.096e+06,3000,1500,0,0,2000,2000,2000,171.071,72.574,0,0,1060.46,1347.63,1960.73,0.000453382,0.000921484,0,0,0.0278846,0.000110662,8.02336e-05,
578.00,104.56,115.429,307.983,153.672,271.167,274.432,277.038,0,0,0,0,0,0,0,280.931,1540.89,0,0,90.8086,91.8711,88.9086,2.81237e+08,3.85637e+08,0,0,1.05823e+08,1.07467e+08,1.03397e+08,842794,2.31134e+06,0,0,181617,183742,177817,1.734e+06,867000,0,0,1.156e+06,1.156e+06,1.156e+06,3000,1500,0,0,2000,2000,2000,162.139,67.1625,0,0,1058.55,1348,1961.9,0.00051888,0.00107811,0,0,0.029305,0.000114932,8.41077e-05,
609.00,89.4307,99.3866,307.857,141.383,269.965,273.41,276.044,0,0,0,0,0,0,0,303.07,1718.06,0,0,90.762,91.7774,88.8674,3.0841e+08,4.62075e+08,0,0,1.11451e+08,1.1316e+08,1.08908e+08,909212,2.57709e+06,0,0,181524,183555,177735,1.827e+06,913500,0,0,1.218e+06,1.218e+06,1.218e+06,3000,1500,0,0,2000,2000,2000,152.24,61.0361,0,0,1056.77,1348.36,1963.05,0.000599467,0.00128909,0,0,0.030674,0.000119504,8.8517e-05,
624.00,81.5562,91.081,307.794,135.119,269.39,272.922,275.575,0,0,0,0,0,0,0,317.061,1798.86,0,0,90.7407,91.7331,88.8492,3.22523e+08,5.01957e+08,0,0,1.14174e+08,1.15913e+08,1.11574e+08,951183,2.6983e+06,0,0,181481,183466,177698,1.872e+06,936000,0,0,1.248e+06,1.248e+06,1.248e+06,3000,1500,0,0,2000,2000,2000,146.904,58.093,0,0,1055.96,1348.53,1963.59,0.000646045,0.00141031,0,0,0.0313003,0.000121758,9.06112e-05,
625.00,81.0649,90.5529,307.79,134.716,269.352,272.889,275.545,0,0,0,0,0,0,0,317.836,1802.84,0,0,90.7393,91.7301,88.8462,3.23476e+08,5.04661e+08,0,0,1.14355e+08,1.16096e+08,1.11751e+08,953509,2.70425e+06,0,0,181479,183460,177692,1.875e+06,937500,0,0,1.25e+06,1.25e+06,1.25e+06,3000,1500,0,0,2000,2000,2000,146.583,57.9123,0,0,1055.95,1348.54,1963.58,0.000649149,0.00141848,0,0,0.0313345,0.000121907,9.11278e-05,
640.00,72.4233,82.0077,307.727,128.249,268.782,272.406,275.083,0,0,0,0,0,0,0,343.183,1873.95,0,0,90.7187,91.6865,88.8307,3.38527e+08,5.46255e+08,0,0,1.17077e+08,1.18847e+08,1.14417e+08,1.02955e+06,2.81092e+06,0,0,181437,183373,177661,1.92e+06,960000,0,0,1.28e+06,1.28e+06,1.28e+06,3000,1500,0,0,2000,2000,2000,140.053,55.0996,0,0,1055.14,1348.71,1964.17,0.000707957,0.00155082,0,0,0.0319557,0.000124143,9.27497e-05,
